N,Тип,Источник,Содержание сообщения,Оригинал сообщения,Дата,
1954,Комментарий к посту/репосту,Группа,"Зачем этот дурдом показывать.Какой отец в10 лет? Вы о чем? Я бы мамашу этой малолетней самки и ее  отца хорошо бы по закону притянула,за то ,что такую шаболду вырастили.И того  типа самца,который своим пипенчиком поработал,что бы дите  народ лось.Люди включите мозги-это ненормально.",0,28.08.2020 23:58:19,
1955,Комментарий к посту/репосту,Группа,"Ой нет,мы своим набираем сухого и мягкого на неделю,от субботы,до субботы.Их у нас шесть.",0,28.08.2020 23:44:21,
1956,Комментарий к посту/репосту,Группа,"Ну,ну,пока у неё течка-царица здесь она!",0,28.08.2020 23:39:05,
1957,Комментарий к посту/репосту,Группа,"Походу мамаша снимала.А что потом? Да ничего ,взяла ребёнка за руку и ушла..А котейка дальше остался мокнуть.",0,28.08.2020 23:32:27,
1958,Комментарий к посту/репосту,Группа,"Да хватит уже слушать этого старого козла.Говорит много,а толку ноль.",0,28.08.2020 23:29:53,
1959,Комментарий к посту/репосту,Группа,"Дай бог,что бы двуногая тварь на шкуру не убила.",0,28.08.2020 23:28:21,
1960,Комментарий к посту/репосту,Группа,Мамуля-то ещё сама котёнок.,0,28.08.2020 23:26:05,
1961,Комментарий к посту/репосту,Группа,"Хорошенькие,но жалко,что из них всех выживет только один и то хорошо.Так же ,как и синички зимой,из 10  выживает только одна.Вот поэтому мы каждую зиму помимо комбикорма и зерна,скармливаем им по два мешка семечек.Ещё конец августа,а они уже прилетели.Помнят кормушку.",0,28.08.2020 23:24:08,
1962,Комментарий к посту/репосту,Группа,"А потом вот такая крохотная душа вырастает в наглого крола,который рвет своими лапами твою кожу,если его нужно пересадить  в другую клетку от своих собратьев,я бы послушала ваши умиления",0,28.08.2020 23:17:51,
1963,Комментарий к посту/репосту,Группа,Голопопая милота!,0,28.08.2020 22:53:33,
1964,Комментарий к посту/репосту,Группа,"Очень красиво,но как дорого.Бисер , проволока и все остальное.",0,28.08.2020 22:45:48,
1965,Комментарий к посту/репосту,Группа,"Да,с такой кисой  лучше не встречается.Мой лысик сфинкс спит рядом в одеяле и мне этого достаточно,хотя мохнатая пятерка  носится на улице,домой не загонишь,только покушать.",0,28.08.2020 22:22:08,
1966,Комментарий к посту/репосту,Группа,"Все так умиляются.А спросить,чем? Тупым животным,которому даже размножаться Лень.Вот и носятся с ним,как с писаной торбой.А если кому в другую страну дадут это ,,чудо,,,так ещё обалденные бабки сдерут и корм для этого нужно закупать по бешеным деньгам.Вопрос-пусть это чудо живёт у себя на родине.",0,28.08.2020 22:12:13,
1967,Комментарий к посту/репосту,Группа,Да неужели этот недоделаный нас освободил от своих дебильных фоток и неадекватных выходок.Какое Счастье!!!,0,28.08.2020 22:04:46,
1968,Комментарий к посту/репосту,Группа,"Мило конечно,но ради бога ,не надо,что бы животные терлись о ребёнка.Мало ли что,всякое может быть.Пусть животинка хоть сто раз мытая,проглистогониная,и т. д и т .п,но всякое может быть.Думайте в первую очередь о малыше,его здоровье на вашей совести.",0,28.08.2020 21:57:53,
1969,Комментарий к посту/репосту,Группа,"Одно из двух-или меры не знает,или больной.",0,28.08.2020 21:24:31,
1970,Комментарий к посту/репосту,Группа,"Блин,сегодня вечером,мой Васюня,-собакен оторвался и угробил двух курей.Наказывать смысла нет,он поохотился,прицепила,чувствует свою вину,ушол в будку и не выходит.Будем ждать утра.Извиниться или нет ?",0,28.08.2020 20:43:41,
1971,Комментарий к посту/репосту,Группа,"Не смешите манду,она и так смешная.Были в армии неадекватные долбаебы,которые будут пытаться унизить других ,так и будет ,до тех пор,пока нормальные ребята таких не научат по ихнем же правилам.Вот когда такие ушлепки на своей шкуре испытают все те унижения,что они делали с другими,тогда я думаю они поймут.Хотя я не уверена,что что-то может дойти до таких уродов.Одно,что с такими ушлепками делать это тюрьма.Пусть там свою дедовщину покажут,или им покажут.",0,28.08.2020 20:20:19,
1972,Комментарий к посту/репосту,Группа,"Да пусть строят сколько хотят.У людей скоро денег не будет с этой долбаной пандемией и нашими неадекватными властями,которые все запрещают.Прогорят и флаг им в руки.Мне лично пофиг на эти ТЦ,у нас все своё и мясо и овощи и ягоды и арбузы и куча заготовок от кетчупа  до солянки и борща,компотов и  т. д. и т. п.Пока могу ползать -нахрен мне магазины,только купить муку для хлеба.",0,28.08.2020 20:06:26,
1973,Комментарий к посту/репосту,Группа,"Да задолбали уже,дети становятся все тупей от этой дистанционки.А какие сейчас учебники ,полный пипец нехрена не ясно ,что написано.Угробили советское обучение,представляю что вырастит из наших ребятишек.Не учёба,а полный отстой.",0,24.08.2020 18:14:07,
1974,Комментарий к посту/репосту,Группа,"Тетенька сама себя так переверни,а я посмотрю,будет тебе комфортно или нет.",0,24.08.2020 18:08:28,
1975,Комментарий к посту/репосту,Группа,"Дай бог ,что бы ребёнок восстановился и стал как все ребятишки.А где вездесущие соседки ,бабки сплетницы были?Они же все про всех знают.Как прохлопали такое?",0,24.08.2020 17:53:07,
1976,Комментарий к посту/репосту,Группа,"Это что подстава? Как силовики узнали,что простой гражданин,что-то заказал.Меня посетили Очень большие сомнения.",0,24.08.2020 17:16:09,
1977,Комментарий к посту/репосту,Группа,"Вот кто снимал,что ума не хватило позвать помощь и отпиздить ушлепков.Я так думаю после эти твари заявку не написали бы.",0,24.08.2020 17:06:52,
1978,Комментарий к посту/репосту,Группа,"Зачем депортировать? Если эти ушлепки остались на свободе и не свалили оттуда,я бы нашла способ ,что бы этих тварей положить в землю.А нашим ментозаврам обалденный респект.За что суки деньги получают?",2,24.08.2020 16:58:24,
1979,Комментарий к посту/репосту,Группа,Я рыжуля-красотуля!,0,24.08.2020 16:53:52,
1980,Комментарий к посту/репосту,Группа,"Этот же как-то вякнул,что нужно жить скромно.Вот пусть с себя и начнёт.Вот из за таких появилось отвращение ходить в церковь.",5,24.08.2020 11:13:48,
1981,Комментарий к посту/репосту,Группа,"Сколько можно эти фото выкладывать,достали уже.",0,24.08.2020 10:45:30,
1982,Комментарий к посту/репосту,Группа,"Моделька,красотулька!",0,23.08.2020 19:06:30,
1983,Комментарий к посту/репосту,Группа,"А при чем тут ,,завидуйте молча,,.Это что за грыжи на фасаде домов?И куда власти города смотрят,или им хорошо заплатили?",0,23.08.2020 18:54:53,
1984,Комментарий к посту/репосту,Группа,"Мозги не включат,а то народ доведут и ничто этих ублюдков не спасёт ,сметут к чертям сачьим.",2,23.08.2020 17:55:19,
1985,Комментарий к посту/репосту,Группа,"Коты ловят мышей в знак блогодарности? Значет у вас плохой кот,мой зимой выходит на улицу ловит мышей как лиса,если вы конечно об этом знаете.У меня их пять ,кот свой,а кошки подбирашки,плюс пришлось забрать сфинкса,но он не в счёт,так наша гвардия охраняет стайку с кроликами и курями по полной программе.",0,23.08.2020 17:36:24,
1986,Комментарий к посту/репосту,Группа,"Почистить ушки и глаза это нужно быть фокусником.Как только видит полотенце в которое я его запахиваю,что бы его почистить,он сразу удирает,выманиваю мяском кролика,он от него отказаться не может.Хотя вся его лицевая уборка проходит быстро,но он всю свою вредность выплескивает с полна.А так не кот,а милаха,обожаю этого бандюгана,хотя дома ещё пять кошек в шерсти - подбирашки,уже со стажем,наш лысик последний.Свой дом ,они гуляют сами,а этого лысика нужно выгуливать под присмотром,зато загорел.",0,23.08.2020 17:27:50,
1987,Комментарий к посту/репосту,Группа,"Мордашки хитрющие.жаль,что наш вырос,ему два года,а так хочется,что бы снова котенком стал.",0,21.08.2020 11:24:14,
1988,Комментарий к посту/репосту,Группа,"Наши властьимущие так и делают,зачем нам пенсии платить,доработал до пенсии и сразу в ящик.",2,19.08.2020 10:41:17,
1989,Комментарий к посту/репосту,Группа,"Ирина спасибо за добрые слова! Живём в своём доме,есть куры,кроликов   держим ,огород ,заготовки на зиму.Прорвемся.",0,19.08.2020 10:37:02,
1990,Комментарий к посту/репосту,Группа,"Что-то не понятно,заболеваемость пишут растёт и тут же отменяются некоторые ограничения?",0,19.08.2020 10:16:33,
1991,Комментарий к посту/репосту,Группа,"И что? А воз  и ныне там. Хватит уже говорить,начинайте делать.Вы позорники даже ,,ветерана труда,, перестали давать,стараетесь людей льгот лешить по состоянию здоровья.",0,19.08.2020 10:07:40,
1992,Комментарий к посту/репосту,Группа,В зоомагазине наверно можно купить и бутылочки и соски для таких мал ток.,0,19.08.2020 09:04:08,
1993,Комментарий к посту/репосту,Группа,По желанию? И вы в это верите? Начнётся как всегда добровольнопринудительно.,0,19.08.2020 08:46:21,
1994,Комментарий к посту/репосту,Группа,"Ну и сказки,а сказочники вообще что-то.",0,19.08.2020 08:18:58,
1995,Комментарий к посту/репосту,Группа,"Ольга ,а на работу никто не берет по состоянию здоровья и плюс возраст.Это только по телику хорошо чирикают,что люди предпенсионного возраста могут спокойно устроится на работу.А работодателю какой нужен работник?Чтобы пахал за троих,без больничных и с одной зарплатой,да и ещё поменьше вякал.",0,19.08.2020 08:07:18,
1996,Комментарий к посту/репосту,Группа,"Вообще-то не соскучились,огород свой,кролики и куры свои,мы всем довольны.",0,18.08.2020 13:16:12,
1997,Комментарий к посту/репосту,Группа,"Да, соски пора убрать,в таком возрасте это уже клиника.Плюс эти девчухам ведерко с водой и тряпочки,пусть отмывают.Другой раз прежде чем нагадить головенками подумают.",0,18.08.2020 13:09:16,
1998,Комментарий к посту/репосту,Группа,"Шурик ,сижу благодоря нашем властям дома,после сокращения,оптимизация чёрт возьми,муж и сын водители,мотаются сгрузами по всей области.Где чёрт возьми этот вирус? В магазин в наморднике,хотя уже врачи давно говорят,что это фуфло,но нашим властьимущем долбаебам не докажешь,готовьте только кошельки .Уже сука уроды не знают как ещё народ обобрать.",2,18.08.2020 12:38:20,
1999,Комментарий к посту/репосту,Группа,"Какие грядки? Что нянечки будут бегать полоть или на шею дворнику повесят? Если это садик в черте города-какие нахрен грядки,кто с них жрать будет?",0,18.08.2020 12:21:49,
2000,Комментарий к посту/репосту,Группа,"А где же ты такой милаха живёшь? Очень хочется пожулькать,а то свои уже взрослые.",0,18.08.2020 12:17:07,
2001,Комментарий к посту/репосту,Группа,"Ой так хочется написать,но не буду.Одно скажу-в медиках я разочаровалась.Сдохну,но у себя дома.Им я больше не верю.Одни деньги кругом.",1,18.08.2020 12:02:27,
2002,Комментарий к посту/репосту,Группа,"Пусть наши чинуши провакцинируются,а мы потом посмотрем.А если начнётся принудиловка,люди взбунтуются в лучшем случае,в худшем медиков убавится.",0,18.08.2020 11:14:31,
2003,Комментарий к посту/репосту,Группа,"Двое из ларца,одинаковых с лица.",0,18.08.2020 11:11:25,
2004,Комментарий к посту/репосту,Группа,"Ой звездулке сервис не понравился,сиди дома и если умеешь ,готовь борщь.Зажрались самки.Что не чмо,все в звезды лезут,достали уже эти шуты.",0,18.08.2020 10:54:48,
2005,Комментарий к посту/репосту,Группа,"Ладно хоть шлепок,а не что нибудь посерьезней.",0,18.08.2020 10:50:35,
2006,Комментарий к посту/репосту,Группа,"Это не мордашка,котейка жаждит драки.Такой взгляд очень знаком.",0,18.08.2020 10:47:42,
2007,Комментарий к посту/репосту,Группа,А это не песец после линьки?,0,18.08.2020 10:45:00,
2008,Комментарий к посту/репосту,Группа,"Мы что-то не поняли,а что котлеток не будет?",0,18.08.2020 10:43:01,
2009,Комментарий к посту/репосту,Группа,"Красава! Похожа на нашу Конопуню,только наша потемней.",0,18.08.2020 10:39:30,
2010,Комментарий к посту/репосту,Группа,"Как жареным запахло,Россия помоги.А то все наезды были и газ ему подешевле,чем нам и т. д. и т. п .А через свою границу нам всякую хрень от Запада перепровлял.Довел народ,вот и получай.Только мы никогда не выйдем против нашего обнуленного.",0,18.08.2020 09:57:48,
2011,Комментарий к посту/репосту,Группа,"Ирина, наверно у нас с вами домовой завелся.",0,18.08.2020 09:51:41,
2012,Комментарий к посту/репосту,Группа,"Бесполезно,регулярно проверяем,но носки один чёрт пропадают после стирки.",0,18.08.2020 09:40:52,
2013,Комментарий к посту/репосту,Группа,Молодец конечно.А если водить не умеешь?,0,18.08.2020 09:32:00,
2014,Комментарий к посту/репосту,Группа,"Да у него на лице его диагноз написан.Господи и дал бог таким долбоебам размножаться.Козла за яйца подвесить и пусть повизжит,пока не охрипнит.",0,18.08.2020 09:30:00,
2015,Комментарий к посту/репосту,Группа,"Молодец конечно,что выкинул такую информациюНо меня порожает-есть своя кошка.Конечно живу в своём доме,а не в квартире,но у меня таких пятеро,плюс один уже рожден дома от подбирашки.Неужели тяжело ещё несколько беззащитных душ пригреть?",0,18.08.2020 09:20:34,
2016,Комментарий к посту/репосту,Группа,"Марина,значет у тебя бабулечек много и тебе все пофиг.А я хочу получать свою пенсию соразмерно тому труду,который я отпахала.А то получается совсем наоборот.Как в фильме Гайдая,,кто не работает-тот ест,,.",0,16.08.2020 10:35:08,
2017,Комментарий к посту/репосту,Группа,"Марина ,а у тебя значет бабулек куча и ты всем довольна?А я хочу такую власть,что бы по выходу на пенси
ю",0,16.08.2020 10:30:43,
2018,Комментарий к посту/репосту,Группа,"Да плевать Цевелю на мнение народа,большие бабульки закрутились.Был пиздобол Тулейка,вешал нам лапшу на уши,теперь Цивильку пригнали,высосет последнее из Кузбасса и останемся мы не с чем.А Путину только результаты важны,а на народ пофиг.",2,16.08.2020 09:47:43,
2019,Комментарий к посту/репосту,Группа,"Да облейти этих ушлепков кипятком,быстро разбегутся.Выйдите толпой на них,даже бабы.эти уроды сыкуны по жизни",0,16.08.2020 09:38:42,
2020,Комментарий к посту/репосту,Группа,"Пока есть такие Люди,кто решает вопросы за чинуш,с мёртвой точки ничего не сдвинется.Долбите сайт Путина,когда он переполнится,глядишь наши власть имущие зашивелятся.",2,16.08.2020 09:26:56,
2021,Комментарий к посту/репосту,Группа,"Как хочется много сказать,но лучше промолчу,а то срок себе точно намотаю со своими высказываниями по поводу нашей власти.Гори эта власть синим пламенем.",2,16.08.2020 09:16:27,
2022,Комментарий к посту/репосту,Группа,"Олеся,а я и не завожу,я подбираю.В прошлом году кошку покинули к нашему магазину,люди подкармливали и я в том числе,но никто не взял к себе.Начались морозы,теперь Мара живёт у нас.Не прошло трёх дней,выкинули черненькую,в 20 градусный мороз,у нас появилась Мася.Теперь у нас подбирашки Конопуня-старейшина,принесла домой на лодошке,ей 7 лет,ее  дочка Тася,попросили оставить и не забрали,сынуля Конопуни,Марс,внучка уговорила оставить и лысик Донской сфинкс,кого вообще не хотела заводить,но с ним с детства плохо оброщались,живёт у нас с двухмесячного возраста,ему уже третий год пошло.И это лысое чудовище самое любимое,кот умница.",0,16.08.2020 09:06:55,
2023,Комментарий к посту/репосту,Группа,"Да блин возмите себе,я также четверых притащила,плюс от кошки подбирашки котёнка оставили,потом отвнучки котика донского сфинкса просто не отдала,как с ним обращался новоявленный муженек снохи,просто ужас ,с двухнедельным малышом.Сейчас нашиму Оскару уже третий год. Намылись в бане,наелись с другими кошками и   теперь дрыхнет в своём персональном одеяле.А ночь, прийдет ко мне и спать рядом ляжет.",0,15.08.2020 22:55:41,
2024,Комментарий к посту/репосту,Группа,"Мама молодец,а вот доченька когда благодоря маме вылезла из грязи вспомнет о ней? Я думаю ,нет?Современная молодежь живёт одним днём и не хочет помнить,что для неё сделали их родители.Дай бог,что бы я была не права.",0,15.08.2020 22:15:49,
2025,Комментарий к посту/репосту,Группа,"Господи,но не нужны,возмите грех на душу,уберите как только родились ,зачем выбрасывать как только подросли.",0,15.08.2020 21:48:41,
2026,Комментарий к посту/репосту,Группа,"Пусть сделает рентген и все станет ясно,врёт или нет.",0,15.08.2020 13:38:15,
2027,Комментарий к посту/репосту,Группа,"Хорошим баблом запахло,вот им и пофиг на людей.",0,14.08.2020 07:12:12,
2028,Комментарий к посту/репосту,Группа,"А я бы эту тварь придушила,а то ей скорую вызвали.К стенке таких ставить,детоубийца.",0,09.08.2020 20:10:40,
2029,Комментарий к посту/репосту,Группа,Какая прелесть!!!А глазенки вообще что-то!!!,0,09.08.2020 19:58:38,
2030,Комментарий к посту/репосту,Группа,Люди наверно этому котейки были богом данные на его спасение.Как хорошо что так все благополучно получилось.,0,09.08.2020 19:39:12,
2031,Комментарий к посту/репосту,Группа,"Сама уже не молодуха,но как посмотришь на этих старых дебилов,волосы дыбом.Вышел старый козел на остановке и попер перед автобусом через дорогу,на второй полосе легковушка чудом этого долбаеба не сбила-увернулась,хорошо на третей полосе машин не было.А случись беда водила как всегда будет виноват,а не это старый маразматик.",0,09.08.2020 19:23:21,
2032,Комментарий к посту/репосту,Группа,"Очень красиво! Только я бросила это делать,все хотят купить за гроши.",0,09.08.2020 19:06:05,
2033,Комментарий к посту/репосту,Группа,"А вот фиг,потусила в стайке,накормила кроликов ,почистила у них курок -бандиток позвала с огорода покормила,яйцо собрала,50 гр. бухнула к вечеру,а на работу никто не зовёт,старая.А Путин ещё 1 ,5 припоял работать к пенсии,но я уже работадателю нахрен не нужна после сокращения.Вот и тусю в стайке с кроликами и курами,что бы с голоду не сдохнуть.А цены на корма каждый месяц все выше и выше,спасибо нашему правителю.",0,09.08.2020 18:57:35,
2034,Комментарий к посту/репосту,Группа,"Вот поэтому нам на ЖКУ и влупили 15% ,радуйся народ,скоро срать будем в пакетики  как собаки и умывться как кошки лапками.Зашибись,дожили.Как вы уже достали с этим вирусом.",0,09.08.2020 17:54:21,
2035,Комментарий к посту/репосту,Группа,"Красавы! А у меня есть голубой высокорслый,но нет возможности сфоткать.",0,09.08.2020 17:46:21,
2036,Комментарий к посту/репосту,Группа,"Извините,хотела быстро написать,но комп выкидывает такие номера,что теперь приходится каждое слово проверять,ещё раз извините.",0,09.08.2020 17:22:23,
2037,Комментарий к посту/репосту,Группа,"Вчера я был мышегоняльный,вполне сметаноуплетальный,сегодня я диваноспальный,вплнеподушкодеяльный.",0,09.08.2020 17:19:26,
2038,Комментарий к посту/репосту,Группа,"Кака хорошо что у нас свой дом и таких проблем нет,а вам терпения.",0,09.08.2020 17:16:09,
2039,Комментарий к посту/репосту,Группа,"Хороша малява,но у нас и так пять подбирашек,плюс свой кот.Дай бог малышке найти свой дом и любящих хозяев.",0,09.08.2020 16:17:40,
2040,Комментарий к посту/репосту,Группа,"Не хочу читать дальше,у нас Кемерово и все утырки запомнете,Кемерово не склоняется,так же как и Белово. Запомните!!!",0,09.08.2020 16:11:30,
2041,Комментарий к посту/репосту,Группа,"Нормально!Когда союз распался,русских старались отовсюду выгнать,отбирали квартиры,машины.А теперь сами прутся к нам,нахрен они нужны,самим работы нет,а тут ещё эти тащатся.",0,07.08.2020 08:41:20,
2042,Комментарий к посту/репосту,Группа,А этому чем думать? У него мозг уже давно на ринге отбили.,0,05.08.2020 08:11:31,
2043,Комментарий к посту/репосту,Группа,"Лысик,кипяточек чем-то очень недоволен.",0,04.08.2020 18:30:39,
2044,Комментарий к посту/репосту,Группа,"Кот наверно думает,,чтоб тебя так же жена твоя кормила,,.",0,04.08.2020 18:29:07,
2045,Комментарий к посту/репосту,Группа,"Прикольно,нужно молочка налить,только натурального,не магазинного.",0,04.08.2020 18:17:40,
2046,Комментарий к посту/репосту,Группа,"Совсем мозги растаяли у наших чиновников,задолбали уже с этим вирусом.Сказали же ,что 1 сентября дети пойдут в школу,а вот здрасте,получите очередную фигню.",2,04.08.2020 18:15:47,
2047,Комментарий к посту/репосту,Группа,"Брехня,Путин же сказал что этих должно больше приезжать.Своим людям нужно платить,а приезжие за гроши будут пахать и иплевать что многие россияне потеряли работу.",0,04.08.2020 12:21:20,
2048,Комментарий к посту/репосту,Группа,"Он же не болеет короновирусом,зачем его лечить,за такого бабло им не идёт.",0,04.08.2020 12:10:46,
2049,Комментарий к посту/репосту,Группа,"В первую очередь своих родных,а потом уже их к остальным людям подпускать.А то идёшь в больницу и думаешь,угробят или вылечат за наши же деньги.",0,04.08.2020 11:49:22,
2050,Комментарий к посту/репосту,Группа,"Ирина,слава богу мои афганцы собираются у нас дома и такой бардак как некоторые товарищи не устраивают.В город не выезжают,смысла нет.Свой праздник отмечают нормально,не позоря свои голубые береты.",0,04.08.2020 11:44:24,
2051,Комментарий к посту/репосту,Группа,"Дикс попробуй такую шкуру содержать в чистоте,я бы никогда не согласилась,хотя кроликов выращиваем 15 лет.",0,04.08.2020 10:24:09,
2052,Комментарий к посту/репосту,Группа,"Ой блин боюсь,боюсь,какой могучий зверь!Милота  обалденная!",0,04.08.2020 10:16:34,
2053,Комментарий к посту/репосту,Группа,Какие они потешные!,0,04.08.2020 09:02:17,
2054,Комментарий к посту/репосту,Группа,"Всю свою жизнь прожила в п.Пионер и никуда не победу.Через дорогу косогор,внизу речка,ягода через дорогу.Одно плохо,надовали участков,настроились,походу городские,одно слово Свиньи,куча детей и весь мир им обязан.Критику вообще воспринимать не хотят,остаётся одно,бить морды,но чёрт возьми это подсудное дело,а так хочется этих к порядку притянуть.",0,03.08.2020 18:00:20,
2055,Комментарий к посту/репосту,Группа,"Сережа,ты угадал,мои мужчины себя так не ведут,но в морду любому ушлепку ,который из себя пытается что-то строить спокойно могут дать и будут правы.Уродов нужно лечить только пиздюлями,больше никак не понимают.",0,03.08.2020 17:53:03,
2056,Комментарий к посту/репосту,Группа,А на сэкономленные деньги за билет на самолёт ой блин столько можно выпивона взять.,0,03.08.2020 11:34:19,
2057,Комментарий к посту/репосту,Группа,"Женечка,вот и изобрести что -то новое,для нас,для тупых.А мы пока за бешеные бабки потопимся.",0,03.08.2020 11:32:03,
2058,Комментарий к посту/репосту,Группа,"А у нас теперь что,каждый праздник будут ,,обкладывт,, силовиками? Или что суки властьимущие ссыти,когда такая сила даже без оружия выходит на улицу? У меня муж авганец и брат,который подписался о не разглашении на Кавказе и я этими мужиками горжусь.Хотя сейчас ментуру терпеть не могу,но опять же отец и брат по полной отслужили.Сейчас мент мелкий пошло,уважухи-ноль.",2,03.08.2020 11:26:22,
2059,Комментарий к посту/репосту,Группа,"Виктория спасибо за информацию,но на неё у меня нет времени,вчера удрал из дома наш Ося,донской сфинкс,места себе не нахожу,все оббегала ,объявления развесила,голова не о чем больше не думает,ночь прошла,холодная не откликается.Пятерка шерстистых дома ,а его нет.",0,03.08.2020 09:15:10,
2060,Комментарий к посту/репосту,Группа,В табло дать и сверху что не дожрал полить.,0,03.08.2020 08:39:16,
2061,Комментарий к посту/репосту,Группа,"Зато мы живём на угле ,а цены на него каждый год все выше и выше.Скоро как золотом будем топится.Про газ вообще молчу.",0,03.08.2020 08:33:51,
2062,Комментарий к посту/репосту,Группа,"Да пообливайте этих упырей с окна кипятком,быстро разбегутся.А если потом в квартиру начнут ломится,вам и ,,карты в руки,,.А если бы были ,,мужики,, в вашем доме,а не терпилы,быстро бы всю эту шайку- лейку разогнали и директор магазина свою жопу посадил бы на место.",0,03.08.2020 08:25:38,
2063,Комментарий к посту/репосту,Группа,Какой нормальный закон может принять Валуев с отбитой головенкой?,0,01.08.2020 19:03:35,
2064,Комментарий к посту/репосту,Группа,"Да уже большенькая мелочь,пора переводить на корм,пожалейте маму.",0,01.08.2020 18:31:17,
2065,Комментарий к посту/репосту,Группа,"Красиво! Глаза радуются глядя на это,но у нас такие цены и на бисер  и на проволоку и все остальные причиндалы,что просто руки опускаются.",0,01.08.2020 18:04:00,
2066,Комментарий к посту/репосту,Группа,"Поймали и всю наркоту которую при них нашли,в них и затолкали.",0,27.07.2020 12:52:36,
2067,Комментарий к посту/репосту,Группа,У Цивиля кукушка поехала чтоли.,0,27.07.2020 09:55:41,
2068,Комментарий к посту/репосту,Группа,"Красиво,но жалко,что сейчас понаедут людишки и все загадят.Обычно так и получается,где появляется двуногая тварь-человечек,все,пипец природе.",0,27.07.2020 09:16:29,
2069,Комментарий к посту/репосту,Группа,"Не Россия сбилась с пути,а власть имущие твари.Им на нас уже давно плевать,пока мы им приносим деньги в виде налогов ,они нас терпят.",2,27.07.2020 09:12:55,
2070,Комментарий к посту/репосту,Группа,"Просто дура,больше нет слов.",0,25.07.2020 15:34:16,
2071,Комментарий к посту/репосту,Группа,Это что такое ты вкусненькое съел?,0,17.07.2020 09:13:55,
2072,Комментарий к посту/репосту,Группа,"Есть старый анекдот,ещё из моего детства.Стоят два доктора около кровати с пациентом.Один другому говорит,ну что,будем лечить или пусть живёт?Дожила до 55 лет и ничего в медицине не изменилось,только по телику хорошо нас лечат,а в свою больницу уже и идти не хочется.",1,17.07.2020 09:03:16,
2073,Комментарий к посту/репосту,Группа,"А не пора ли уже за измену Родине ,к стеночке ставить? Что-то много  таких ушлепков стало.",0,15.07.2020 22:30:30,
2074,Комментарий к посту/репосту,Группа,"Может у кого-то из губернаторов хватит ума ,после закрытия Т Ц построить хоть завод или фабрику.А то смешно,есть остановкаКЭМЗ,а завод уже давно загнулся,на его месте одни ТЦ.",0,15.07.2020 22:27:05,
2075,Комментарий к посту/репосту,Группа,"Писать ставленнику Москвы Цевелю,не смешите,все заявления просвистят мимо его ушей,он и не заметит.Этим чинушам что надо? Досуха выкачать Кузбасс и свалить куда подальше,а мы будем медленно загибаться,хотя уже загнулись.",2,15.07.2020 22:21:21,
2076,Комментарий к посту/репосту,Группа,"Светлана,получается с твоих слов-ты тоже не настоящая мама? Зачем всех под одну ребёнку.Есть мамы и получше этой,зачем ее на божничку тащить?",0,13.07.2020 10:36:12,
2077,Комментарий к посту/репосту,Группа,"И пипец потом капусте,свои и соседские коты и кошки так эту капусту укатают,урожая к осени не будет.",0,13.07.2020 10:18:03,
2078,Комментарий к посту/репосту,Группа,"А когда едросов начнут проверять? Вот где грязь полезет,но навряд ли такое случится.",2,13.07.2020 09:48:39,
2079,Комментарий к посту/репосту,Группа,"Обожаю лысиков!Наш донской кипяточек не такой конечно морщинистый,но глазенки прозрачно изумрудные.",0,06.07.2020 21:07:06,
2080,Комментарий к посту/репосту,Группа,"А у современных дамочек как? Хочу все и сразу и за твой счёт.Я ,,за мужем,,39 лет,прошли вместе все и безденежье и радости и горе,дом своими горбами построили.а нынешние дамочки умеют только требовать,насмотрелась на таких.Так,что не надо хаять мужиков.Есть конечно дебилы,но и вы дамочки прежде чем требовать,на себя посмотрите.",0,06.07.2020 20:30:33,
